8;0;20;1;3;2;2;10;10;9.81;83;3;5.12;5.25;0;4.52;5;5;5;4.9;;5;10.81;10.81;2;;0;4;1;0;4;2;5;1;4;0;0;1;;No Bonus;32;8;1;10.81;;3;14.89;19.9;3;1;0;0;0;0;0;1;0;0.0989433;0.0542636
17;1;29;0;0;2;2;10;10;9.72;96;2;0;0;0;0;0;0;0;0;;5;11.72;11.72;5;;1;2;0;0;0;4;0;1;5;1;0;2;;No Bonus;41;8;0;11.72;;2;0;0;0;1;0;0;0;0;1;0;0;0.0989433;0.0542636
19;0;24;1;1;2;2;11;11;9.93;99;1;0;0;0;0;2;2;1;0;;6;11.93;11.93;6;;0;1;1;0;0;2;0;0;2;0;0;2;;No Bonus;43;8;0;11.93;;1;0;5;0;1;0;0;0;1;0;0;0;0.0989433;0.0542636
13;1;22;1;7;2;3;13;13;10.95;85;4;0;0;0;0;0;0;0;0;;5;10.95;10.95;4;;0;5;0;0;3;0;0;2;0;2;0;0;;No Bonus;37;9;0;10.95;;4;0;0;1;1;0;0;0;0;0;0;1;0.0896785;0.0519826
3;0;21;1;4;2;3;13;13;10.52;86;3;0;0;0;0;0;0;0;0;;6;11.02;11.02;6;;0;0;0;0;0;0;0;0;0;0;0;0;;No Bonus;27;9;0;11.02;;3;0;0;0;1;0;0;0;0;0;1;0;0.0896785;0.0519826
9;1;25;0;2;2;3;13.5;13.5;12.77;111;2;0;0;0;0;2;2;1;0;;5;12.77;12.77;6;;0;4;0;0;0;4;0;0;4;0;0;0;;No Bonus;33;9;0;12.77;;2;0;5;-1;1;0;0;0;0;1;0;0;0.0896785;0.0519826
1;0;20;1;2;2;3;15;15;12.84;112;1;0;0;0;0;0;0;0;0;;5;12.84;12.84;5;;2;1;6;0;0;0;0;0;2;0;0;0;;No Bonus;25;9;0;12.84;;1;0;0;0;1;0;0;0;1;0;0;0;0.0896785;0.0519826
11;0;20;1;2;2;4;8.5;8.5;8.32;76;4;0;0;0;0;1;0;0;0;;5;10.32;10.32;3;;3;6;0;1;4;1;1;0;0;3;0;2;;No Bonus;35;10;0;10.32;;4;0;1;2;1;0;0;0;0;0;0;1;0.0981481;0.0547197
16;1;24;0;8;2;4;9;9;8.88;84;3;2;1;0;0;4;2;2;2;;3;10.88;10.88;1;;3;7;0;0;0;0;0;0;0;0;0;2;;No Bonus;40;10;1;10.88;;3;3;10;2;1;0;0;0;0;0;1;0;0.0981481;0.0547197
14;0;20;0;2;2;4;11;11;10.87;91;2;4;0;2;2;4;2;2;2;;3;11.37;11.37;3;;1;3;0;0;0;4;0;0;4;0;0;0;;No Bonus;38;10;1;11.37;;2;8;10;0;1;0;0;0;0;1;0;0;0.0981481;0.0547197
2;0;24;1;8;2;4;9.5;9.5;8.63;109;1;0;0;0;0;3;1;0;0;;4;12.63;12.63;6;;1;6;2;1;0;5;1;0;4;3;4;4;;No Bonus;26;10;0;12.63;;1;0;4;-2;1;0;0;0;1;0;0;0;0.0981481;0.0547197
4;0;26;1;10;2;5;10.5;10.5;10.25;75;4;0;0;0;0;3;3;3;3;;1;10.25;10.25;1;;5;6;5;5;5;2;1;5;2;6;6;0;;No Bonus;28;11;0;10.25;;4;0;12;0;1;0;0;0;0;0;0;1;0.1292517;0.0747611
18;1;21;1;4;2;5;12.5;12.5;10.59;87;3;0;0;0;0;1;0;0;0;;4;11.09;11.09;3;;4;3;0;0;0;0;0;3;1;3;0;0;;No Bonus;42;11;0;11.09;;3;0;1;1;1;0;0;0;0;0;1;0;0.1292517;0.0747611
5;0;22;1;8;2;5;15;15;12.91;113;2;0;0;0;0;0;0;0;0;;6;12.91;12.91;6;;0;0;0;0;0;0;0;0;0;0;0;0;;No Bonus;29;11;0;12.91;;2;0;0;0;1;0;0;0;0;1;0;0;0.1292517;0.0747611
12;1;21;1;4;2;5;13.5;13.5;13.19;117;1;0;0;0;0;6;6;5;5;;5;13.19;13.19;5;;0;5;0;0;0;4;0;0;5;0;0;0;;No Bonus;36;11;0;13.19;;1;0;22;0;1;0;0;0;1;0;0;0;0.1292517;0.0747611
18;1;26;0;2;3;1;12;12;11.86;98;4;0;0;0;0;5;5;5;5;;5;11.86;11.86;5;;0;3;0;0;2;3;0;0;0;0;0;0;;Bonus;66;13;0;11.86;;4;0;20;0;0;1;0;0;0;0;0;1;0.0291262;0.1555243
13;0;25;1;2;3;1;12.5;12.5;11.5;100;3;0.56;0;0;0;4;2;2;1;;4;12;12;3;;2;4;0;0;3;0;0;2;2;0;0;0;;Bonus;61;13;1;12;;3;0.56;9;1;0;1;0;0;0;0;1;0;0.0291262;0.1555243
14;1;25;1;4;3;1;12.5;12.5;12.42;106;2;8;0;3;1;6;2;1;1;;6;12.42;12.42;5;;5;4;5;3;3;2;4;5;2;1;1;0;;Bonus;62;13;1;12.42;;2;12;10;1;0;1;0;0;0;1;0;0;0.0291262;0.1555243
19;1;22;1;6;3;1;21;21;20;108;1;0;0;0;0;5;0;0;0;;5;12.56;20.56;7;;0;5;0;0;0;6;0;0;6;0;0;0.56;;Bonus;67;13;0;12.56;;1;0;5;-2;0;1;0;0;1;0;0;0;0.0291262;0.1555243
16;0;21;1;4;3;2;10.5;10.5;9.18;74;4;0;0;0;0;2;1;1;0;;5;10.18;10.18;2;;5;4;2;0;5;2;5;5;1;5;0;1;;Bonus;64;14;0;10.18;;4;0;4;3;0;1;0;0;0;0;0;1;0.1340034;0.2100489
6;0;18;1;2;3;2;11.5;11.5;10.86;98;3;0;0;0;0;10;2;2;1;;5;11.86;11.86;5;;1;4;0;1;0;4;5;0;4;1;0;1;;Bonus;54;14;0;11.86;;3;0;15;0;0;1;0;0;0;0;1;0;0.1340034;0.2100489
9;1;25;1;5;3;2;11.5;11.5;11.43;99;2;2;0;1;1;10;5;5;5;;7;11.93;11.93;7;;0;0;0;0;3;3;0;0;4;0;0;0;;Bonus;57;14;1;11.93;;2;4;25;0;0;1;0;0;0;1;0;0;0.1340034;0.2100489
4;0;24;1;8;3;2;20.5;20.5;19.89;127;1;0;0;0;0;5;0;0;0;;6;13.89;21.89;6;;0;5;0;0;0;4;0;0;5;0;0;2;;Bonus;52;14;0;13.89;;1;0;5;0;0;1;0;0;1;0;0;0;0.1340034;0.2100489
5;0;21;0;4;3;3;9.5;9.5;9.41;63;4;9;0;0;0;6;0;0;0;;1;9.41;9.41;1;;4;1;0;0;5;0;3;5;0;5;0;0;;Bonus;53;15;1;9.41;;4;9;6;0;0;1;0;0;0;0;0;1;0.1083333;0.2068782
