period;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;2;-9;1;11;26;11;11;0;0;9;0;;1;1;2;2;1;1;1;0;0;1;1;1;1;99;20.001;0;7.826923;7.826923;;;;0;0;0;0;0;;;15;2;12;0;12;0;
1;2;1;8;2;17;39;18;17;0;0;9;1;;1;1;2;1;1;2;1;0;0;1;1;1;1;108;11;0;13.15385;13.15385;;;;0;0;0;0;0;;;21;2;12;0;12;0;
15;2;1;0;1;30;30;16;15;1;1;;0;;1;1;2;1;1;6;3;1;0;0;2;1;;125;;;14.53125;12.26667;;;;;0;0;;0;;;1;1;12;0;12;0;
31;2;2;11.9;1;30;30;18;16;0;0;18.1;1;;1;1;2;2;1;5;3;1;0;0;4;0;;218.9;18.1;9;14.4;14.4;0.7;9;;1;0;1;1;0;1;;12;1;12;0;12;0;
46;2;2;15;1;20;36;20;20;0;1;5;1;;1;1;2;2;1;2;1;0;0;1;5;0;0;334.5;6.111;10;20;15.55556;;;;;0;0;0;0;;;0;2;12;0;12;0;
34;3;2;0;1;23;23;19;18;1;1;;0;;1;1;3;2;1;3;3;1;0;0;4;0;;-13;;;17.52632;17.34783;;;;;0;0;;0;;;1;2;10;0;10;0;
7;3;1;0;3;16;35;18;16;0;0;0;0;;1;1;3;1;1;6;1;0;0;1;1;1;1;92;20;0;13.62857;13.62857;;;;0;0;0;0;0;;;17;1;10;0;10;0;
36;3;2;0;1;50;50;15;12;1;1;;0;;1;1;3;2;1;1;3;1;0;0;4;0;;6;;;10.8;9.75;;;;;0;0;;0;;;3;1;10;0;10;0;
31;3;1;0;2;15;42;15;13;0;0;0;0;;1;1;3;1;1;2;2;0;1;0;4;0;;-34;16;2.678571;10.17857;10.17857;;;;0;0;0;0;0;;;27;1;10;0;10;0;
24;3;2;0;3;11;51;12;11;0;1;0;0;;1;1;3;2;1;5;1;0;0;1;3;1;;-30;11.001;5.041667;10.54167;7.411765;;;;;0;0;0;0;;;1;1;10;0;10;0;
48;3;1;0;2;18;27;18;18;0;0;0;0;;1;1;3;1;1;1;2;0;1;0;5;0;0;66.7;17;6;15;15;;;;0;0;0;0;0;;;9;1;10;0;10;0;
