---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7;6;Investor;4;8;0;;;;;;13;30;6;;;;;;;;;;;;;;;;0;;7;Baseline;151;0;;0;4
2;13;6;Trustee;4;0;0;;;;;;30;8;2;;;;;;;;;;;;;;;;0;;7;Baseline;157;0;;0;20
3;15;1;Investor;0;0;0;;;;;;8;30;3;;;;;;;;;;;;;;;;0;;7;Baseline;159;0;;0;8
3;16;1;Trustee;0;0;0;;;;;;30;25;7;;;;;;;;;;;;;;;;0;;7;Baseline;160;0;;0;8
3;24;2;Trustee;4;0;8;;;;;;30;12;1;;;;;;;;;;;;;;;;0;;7;Baseline;168;0;;0.6666667;12
3;14;2;Investor;4;6;8;;;;;;8;30;61;;;;;;;;;;;;;;;;0;;7;Baseline;158;0;;0.6666667;12
3;17;3;Trustee;8;0;16;;;;;;30;12;2;;;;;;;;;;;;;;;;0;;7;Baseline;161;0;;0.6666667;16
3;6;3;Investor;8;12;16;;;;;;12;30;8;;;;;;;;;;;;;;;;0;;7;Baseline;150;0;;0.6666667;16
3;13;4;Trustee;1;0;0;;;;;;30;8;0;;;;;;;;;;;;;;;;0;;7;Baseline;157;0;;0;11
3;22;4;Investor;1;1;0;;;;;;19;30;7;;;;;;;;;;;;;;;;0;;7;Baseline;166;0;;0;7
3;7;5;Investor;0;0;0;;;;;;10;30;1;;;;;;;;;;;;;;;;0;;7;Baseline;151;0;;0;8
3;23;5;Trustee;0;0;0;;;;;;30;5;2;;;;;;;;;;;;;;;;0;;7;Baseline;167;0;;0;8
3;2;6;Investor;0;0;0;;;;;;7;30;5;;;;;;;;;;;;;;;;0;;7;Baseline;146;0;;0;8
3;5;6;Trustee;0;0;0;;;;;;30;10;1;;;;;;;;;;;;;;;;0;;7;Baseline;149;0;;0;8
4;24;1;Trustee;3;0;6;;;;;;30;25;7;;;;;;;;;;;;;;;;0;;7;Baseline;168;0;;0.6666667;11
4;22;1;Investor;3;0;6;;;;;;23;30;8;;;;;;;;;;;;;;;;0;;7;Baseline;166;0;;0.6666667;11
4;2;2;Investor;0;0;0;;;;;;6;30;4;;;;;;;;;;;;;;;;0;;7;Baseline;146;0;;0;8
