10;2;4;10;100;0;0;30;1;3;0;0;6;3;1;0;0;;4;0;10;27;10;1.386294;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
10;3;5;10;160;0;0;30;1;3;0;0;6;3;1;0;0;;4;0;10;27;10;1.386294;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
10;4;3;10;180;0;0;30;1;3;0;0;6;3;1;0;0;;5;0;10;27;10;1.609438;20;1;4;PDSH3010;1;0;1460;;;1;0;0;0;0;0;;0;1
10;5;4;10;180;0;0;30;1;3;0;0;6;3;1;0;0;;15;0;10;27;10;2.70805;20;1;5;PDSH3010;1;0;1190;;;1;0;0;0;0;0.2307692;;0;1
10;6;5;10;140;0;0;30;1;3;0;0;6;3;1;0;0;;1;0;10;27;10;0;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
10;7;2;10;100;0;0;30;1;3;0;0;6;3;1;0;0;;3;0;10;27;10;1.098612;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
10;8;1;10;150;0;0;30;1;3;0;0;6;3;1;0;0;;2;0;10;27;10;0.6931472;20;1;8;PDSH3010;1;0;1240;;;1;0;1;1;0;0.5;;1;1
10;9;1;10;100;0;0;30;1;3;0;0;6;3;1;0;0;;2;0;10;27;10;0.6931472;20;1;9;PDSH3010;1;0;1280;;;1;0;0;0;0;0.0384615;;1;0
10;10;2;10;110;0;0;30;1;3;0;0;6;3;1;0;0;;1;0;10;27;10;0;20;1;10;PDSH3010;1;0;1370;;;1;0;0;0;0;0.0384615;;1;1
11;1;3;10;90;0;0;30;1;3;0;0;7;3;1;0;0;;1;0;10;27;11;0;20;1;1;PDSH3010;1;0;1180;;;1;0;0;0;0;0.2692308;;1;1
11;2;1;10;110;0;0;30;1;3;0;0;7;3;1;0;0;;3;0;10;27;11;1.098612;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
11;3;3;10;170;0;0;30;1;3;0;0;7;3;1;0;0;;2;0;10;27;11;0.6931472;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
11;4;4;30;210;0;0;30;1;3;0;0;7;3;1;0;0;;3;1;0;27;11;1.098612;20;1;4;PDSH3010;1;0;1460;;;0;0;0;0;0;0;;0;1
11;5;2;10;190;0;0;30;1;3;0;0;7;3;1;0;0;;7;0;10;27;11;1.94591;20;1;5;PDSH3010;1;0;1190;;;1;0;0;0;0;0.2307692;;0;1
11;6;5;10;150;0;0;30;1;3;0;0;7;3;1;0;0;;2;0;10;27;11;0.6931472;20;1;6;PDSH3010;1;0;1300;;;1;0;0;0;0;0.1153846;;1;1
11;7;2;10;110;0;0;30;1;3;0;0;7;3;1;0;0;;4;0;10;27;11;1.386294;20;1;7;PDSH3010;1;0;1240;;;1;0;0;0;0;0.0384615;;1;1
